DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1/6/2019,6318.666666666667,6921.5,1391.8333333333333,1138.6666666666667,1172.1666666666667,1724.6666666666667,1456.5,0,36.833333333333336
1/13/2019,7025.285714285715,7464.285714285715,1387.4285714285713,1127.7142857142858,1054.2857142857142,1847.2857142857142,1990.142857142857,0,56.57142857142857
1/20/2019,6862.857142857143,7045.285714285715,1387.857142857143,1055.5714285714287,1006.4285714285714,1855.7142857142858,1682.5714285714287,0,56.714285714285715
1/27/2019,6845.714285714285,6857.571428571428,1387.142857142857,1112.5714285714287,1053.4285714285713,1554.2857142857142,1695,0,55.285714285714285
2/3/2019,6697.857142857143,7006.714285714285,1392.142857142857,827,1219.2857142857142,1781.2857142857142,1732.142857142857,0,54
2/10/2019,6641.571428571428,7209,1388.2857142857142,807.8571428571429,1746.4285714285713,1699.2857142857142,1515.4285714285713,0,51.142857142857146
2/17/2019,6724.428571428572,7381.285714285715,1385.2857142857142,973.5714285714286,1502.5714285714287,1733.5714285714287,1722.2857142857142,0,63.285714285714285
2/24/2019,6650.857142857143,7306.857142857143,1384.2857142857142,1161.857142857143,1333.857142857143,1627.7142857142858,1738.2857142857142,0,60.285714285714285
3/3/2019,6826.142857142857,7349.285714285715,1392,984.8571428571429,1285.4285714285713,1575.142857142857,2051.8571428571427,0,59.42857142857143
3/10/2019,6407.571428571428,7078.142857142857,1394.142857142857,1130.5714285714287,1277.5714285714287,1381.4285714285713,1838.142857142857,0,56.142857142857146
3/17/2019,6305.428571428572,6813,1386.7142857142858,1041.7142857142858,1700.4285714285713,1113.4285714285713,1517.857142857143,0,52
3/24/2019,6142.714285714285,6639.142857142857,1385.142857142857,919.1428571428571,1678.4285714285713,1063.142857142857,1544.7142857142858,0,48.285714285714285
3/31/2019,6131.142857142857,6027.428571428572,1381.2857142857142,256.2857142857143,1922.5714285714287,841,1577.4285714285713,0,48.285714285714285
4/7/2019,6217.428571428572,6125.285714285715,1387.857142857143,933.4285714285714,1523.5714285714287,607.2857142857143,1624.142857142857,0,48.285714285714285
4/14/2019,6122.142857142857,5830.428571428572,1388,543.2857142857143,1620.2857142857142,565,1666.4285714285713,0,46.57142857142857
4/21/2019,6243.571428571428,6584.571428571428,1385.857142857143,570.8571428571429,2066.285714285714,635.4285714285714,1877.7142857142858,0,47.714285714285715
4/28/2019,5958.142857142857,6410.142857142857,1385.4285714285713,961.4285714285714,1566,598.8571428571429,1853.2857142857142,0,44.714285714285715
5/5/2019,5418,6108.142857142857,1183.4285714285713,1117.4285714285713,1947.857142857143,510,1311.2857142857142,0,37
5/12/2019,5934.714285714285,6415.428571428572,677,948.8571428571429,2530.4285714285716,460.57142857142856,1756.7142857142858,0,40.857142857142854
5/19/2019,5847.714285714285,5823,678.1428571428571,657,2601.8571428571427,435.85714285714283,1421,0,28.714285714285715
5/26/2019,5638.142857142857,6141.285714285715,675.8571428571429,525.1428571428571,3222.4285714285716,426.7142857142857,1260.5714285714287,0,29.428571428571427
6/2/2019,5617.142857142857,6293,673.2857142857143,650.8571428571429,3220.1428571428573,422,1300.5714285714287,0,25.142857142857142
6/9/2019,5863.857142857143,6342.428571428572,764.1428571428571,235.57142857142858,3566.4285714285716,398.57142857142856,1262.142857142857,92.42857142857143,23.285714285714285
6/16/2019,5878.285714285715,6980,1370,774.4285714285714,3150.714285714286,377.2857142857143,1280.857142857143,0,25.285714285714285
6/23/2019,5922.142857142857,6648.714285714285,1364.4285714285713,167.71428571428572,3080.8571428571427,392,1609.4285714285713,0,32.857142857142854
6/30/2019,5954.571428571428,6932.857142857143,1352,869.7142857142857,2759.714285714286,482,1425,0,44.714285714285715
7/7/2019,6081.142857142857,6764.285714285715,1346.2857142857142,515,2251.1428571428573,924.5714285714286,1683.4285714285713,0.14285714285714285,43.142857142857146
7/14/2019,5846.571428571428,6127,1331.142857142857,609.1428571428571,1725.2857142857142,818.7142857142857,1601.2857142857142,0,40.57142857142857
7/21/2019,5826,5649.285714285715,1353.5714285714287,253.28571428571428,1539.5714285714287,809.2857142857143,1648.2857142857142,0,42.857142857142854
7/28/2019,5985.428571428572,6068.571428571428,1337.5714285714287,606.8571428571429,1450.2857142857142,989.7142857142857,1639.7142857142858,0,43.142857142857146
8/4/2019,5953.142857142857,5846.714285714285,1340.5714285714287,538.4285714285714,1271.2857142857142,940.4285714285714,1711.4285714285713,0,43.857142857142854
8/11/2019,5800.571428571428,5537,1341.2857142857142,596.7142857142857,1148.142857142857,804,1598.7142857142858,0,49.42857142857143
8/18/2019,5791.285714285715,5444,1339.142857142857,579.5714285714286,1215.5714285714287,766.8571428571429,1496.857142857143,0.14285714285714285,46.42857142857143
8/25/2019,5918.714285714285,5518.285714285715,1344.5714285714287,762.4285714285714,966.8571428571429,940.4285714285714,1461.4285714285713,0,41.714285714285715
9/1/2019,6029.428571428572,5413.714285714285,1341.2857142857142,294.2857142857143,1072.142857142857,1086.142857142857,1570.7142857142858,0,48.42857142857143
9/8/2019,5787.285714285715,5502.714285714285,1348.142857142857,342.14285714285717,947.8571428571429,1110,1713.2857142857142,0,41.42857142857143
9/15/2019,5730.428571428572,5545.285714285715,1355.7142857142858,877.4285714285714,948.8571428571429,978.4285714285714,1341.5714285714287,0,42.714285714285715
9/22/2019,5600.714285714285,4977.714285714285,978.8571428571429,526.7142857142857,996.7142857142857,841.4285714285714,1593.2857142857142,0,40.142857142857146
